//キャラID,キャラ名,フリガナ,通り名,画像の先頭の名前,表情差分数
0,佐々木 孫一,ササキ マゴイチ,主人公,magoichi,3
1,中山 撫子,ナカヤマ ナデシコ,大和撫子,nadeshiko,2
2,加藤 蘭丸,カトウ ランマル,野生児,ranmaru,3
3,一色 真夏,イッシキ マナカ,農ガール,manaka,3
4,荒間田 暖暖,アラマダ ダンダン,鍋奉行,dandan,2
5,大善 吾郎,ダイゼン ゴロウ,お祭り男,daigoro,2
6,戸塚 大宝,トツカ タイホウ,闇医者,taihou,1
7,希崎　夫人,キザキ フジン,,fujin,0
8,希崎　雪,キザキ ユキ,,yuki,1
9,執事服の老人,,,shituji,0
10,吹き出物だらけの男,,,sakekage,0
11,死んだらんまる,,,oRanmaru,0
12,弱った真夏,,,wManaka,0
13,狂人,,,kyoujin1,0
14,狂人2,,,kyoujin2,0
15,狂人3,,,kyoujin3,0
16,狂人4,,,kyoujin4,0
17,弱った暖暖,,,wDandan,0
18,ナイフを持った夫人,,,knife,0
19,隻眼（治療済み）蘭丸,,,sRanmaru,0
20,死んだダイゴロー,,,dDaigoro,0
21,ラスト夫人,,,Tfujin,0
